feature,importance_mean,importance_sd
Feature_asym_energy_content_below_05_Power_Spectrum_Density_AP,0.46957348832290424,0.05865039155264229
Feature_avg_fractal_dimension_ML_AND_AP,0.21076807077735543,0.10268918079749552
Feature_avg_power_frequency_95_Power_Spectrum_Density_ML,0.16925256219198426,0.11266898033242762
Feature_asym_mean_distance_ML,0.12492593120026028,0.054833967583501314
Feature_avg_range_ratio_ML_AND_AP,0.025479947507495725,0.042935370369487566
